"scheme","k","N","degree","worst","best"
"NNB",6,10000,1,1.20601743373028e-05,0.112070571809987
"NNB",6,12589.2541179417,1,1.51828362381368e-05,0.138981825525567
"NNB",6,15848.9319246111,1,1.91140207924656e-05,0.171704395800498
"NNB",6,19952.6231496888,1,2.4063066951352e-05,0.211137218967092
"NNB",6,25118.8643150958,1,3.02935120974901e-05,0.258121938423616
"NNB",6,31622.7766016838,1,3.81371226210181e-05,0.313313791419746
"NNB",6,39810.7170553497,1,4.80115557478511e-05,0.376995896499357
"NNB",6,50118.7233627273,1,6.04425918905305e-05,0.448837856163527
"NNB",6,63095.7344480193,1,7.60921194467024e-05,0.527621592362159
"NNB",6,79432.8234724282,1,9.57933591124727e-05,0.610994759690466
"NNB",6,1e+05,1,0.000120595198432327,0.695361703448212
"NNB",6,125892.541179417,1,0.000151817989468617,0.77606437618649
"NNB",6,158489.319246111,1,0.000191123768201518,0.847996507901829
"NNB",6,199526.231496888,1,0.000240604614782036,0.906671418942567
"NNB",6,251188.643150958,1,0.000302893827951123,0.949496057082668
"NNB",6,316227.766016838,1,0.000381305783060948,0.976687800499989
"NNB",6,398107.170553497,1,0.000480011840830907,0.991191355722483
"NNB",6,501187.233627272,1,0.000604261546589324,0.997413015615224
"NNB",6,630957.344480193,1,0.000760660696849436,0.999446776807604
"NNB",6,794328.234724282,1,0.000957520760046959,0.999920648613841
"NNB",6,1e+06,1,0.00120529775065481,0.999993115934678
"NNB",6,1258925.41179417,1,0.00151714312289231,0.999999682873986
"NNB",6,1584893.19246111,1,0.00190959474624097,0.999999993415305
"NNB",6,1995262.31496888,1,0.00240344274243598,0.999999999949864
"NNB",6,2511886.43150958,1,0.00302481310221614,0.999999999999892
"NNB",6,3162277.66016838,1,0.00380652174441654,1
"NNB",6,3981071.70553497,1,0.00478976315765911,1
"NNB",6,5011872.33627272,1,0.00602621097339384,1
"NNB",6,6309573.44480194,1,0.00758062250156843,1
"NNB",6,7943282.34724282,1,0.00953405470176827,1
"NNB",6,1e+07,1,0.0119878137624395,1
"NNB",6,12589254.1179417,1,0.0150682716171238,1
"NNB",6,15848931.9246111,1,0.018932685444494,1
"NNB",6,19952623.1496888,1,0.023776142300558,1
"NNB",6,25118864.3150958,1,0.0298397073236092,1
"NNB",6,31622776.6016838,1,0.0374197598059579,1
"NNB",6,39810717.0553497,1,0.046878325593249,1
"NNB",6,50118723.3627272,1,0.0586539111186872,1
"NNB",6,63095734.4480194,1,0.0732718503272677,1
"NNB",6,79432823.4724282,1,0.0913524080414827,1
"NNB",6,1e+08,1,0.113613745855591,1
"NNB",6,125892541.179417,1,0.140865262145847,1
"NNB",6,158489319.246111,1,0.173984742990835,1
"NNB",6,199526231.496888,1,0.213870360746362,1
"NNB",6,251188643.150958,1,0.261356371816473,1
"NNB",6,316227766.016838,1,0.317080643321995,1
"NNB",6,398107170.553499,1,0.381295240291309,1
"NNB",6,501187233.627271,1,0.45362197328035,1
"NNB",6,630957344.480194,1,0.532777713337107,1
"NNB",6,794328234.724282,1,0.616332687608309,1
"NNB",6,1e+09,1,0.700614939442544,1
"NNB",6,1258925411.79417,1,0.780914924031553,1
"NNB",6,1584893192.46111,1,0.852129789605483,1
"NNB",6,1995262314.96888,1,0.909854986764269,1
"NNB",6,2511886431.50958,1,0.951655223376123,1
"NNB",6,3162277660.16838,1,0.977935493140644,1
"NNB",6,3981071705.53499,1,0.991780704950115,1
"NNB",6,5011872336.27271,1,0.99762899618236,1
"NNB",6,6309573444.80194,1,0.999504281067342,1
"NNB",6,7943282347.24282,1,0.999930888869287,1
"NNB",6,1e+10,1,0.999994215028141,1
"NNB",6,12589254117.9417,1,0.999999745241933,1
"NNB",6,15848931924.6111,1,0.999999995001877,1
"NNB",6,19952623149.6888,1,0.999999999964566,1
"NNB",6,25118864315.0958,1,0.99999999999993,1
"NNB",6,31622776601.6838,1,1,1
"NNB",6,39810717055.3499,1,1,1
"NNB",6,50118723362.7271,1,1,1
"NNB",6,63095734448.0194,1,1,1
"NNB",6,79432823472.4282,1,1,1
"NNB",6,1e+11,1,1,1
"NNB",6,125892541179.417,1,1,1
"NNB",6,158489319246.111,1,1,1
"NNB",6,199526231496.888,1,1,1
"NNB",6,251188643150.958,1,1,1
"NNB",6,316227766016.838,1,1,1
"NNB",6,398107170553.499,1,1,1
"NNB",6,501187233627.271,1,1,1
"NNB",6,630957344480.194,1,1,1
"NNB",6,794328234724.282,1,1,1
"NNB",6,1e+12,1,1,1
"NNB",6,10000,2,8.99839485087872e-05,0.350768277050996
"NNB",6,12589.2541179417,2,0.000113281759703376,0.419469213909599
"NNB",6,15848.9319246111,2,0.000142611194392184,0.495717830216943
"NNB",6,19952.6231496888,2,0.000179533541751153,0.57763467603817
"NNB",6,25118.8643150958,2,0.000226014084402482,0.662114594822933
"NNB",6,31622.7766016838,2,0.000284526548209985,0.744873327724851
"NNB",6,39810.7170553497,2,0.000358184506525139,0.820877607127807
"NNB",6,50118.7233627273,2,0.000450906665320883,0.88524505530084
"NNB",6,63095.7344480193,2,0.000567624718261661,0.934487777568229
"NNB",6,79432.8234724282,2,0.000714544661762795,0.967652694871239
"NNB",6,1e+05,2,0.000899475202513322,0.986695537830745
"NNB",6,125892.541179417,2,0.00113224029737657,0.995652370196032
"NNB",6,158489.319246111,2,0.00142519708401034,0.998936503345353
"NNB",6,199526.231496888,2,0.00179388565853877,0.99981933145138
"NNB",6,251188.643150958,2,0.00225784352243119,0.999980604796975
"NNB",6,316227.766016838,2,0.00284162525374909,0.99999883168852
"NNB",6,398107.170553497,2,0.00357607724990716,0.999999965998442
