"scheme","k","n","cov","eff","div"
"NNB",6,1e+06,0.0140857619274346,0.662677079432417,0.290001861527546
"NNB",6,1100000,0.0154578714286929,0.661117436134168,0.290001861527546
"NNB",6,1200000,0.0168236388531561,0.659569092893798,0.290001861527546
"NNB",6,1300000,0.018183131724217,0.658031885619107,0.290001861527546
"NNB",6,1400000,0.0195364162846687,0.656505654067847,0.290001861527546
"NNB",6,1500000,0.0208835575335346,0.654990241719548,0.290001861527546
"NNB",6,1600000,0.0222246192614527,0.653485495652883,0.290001861527546
"NNB",6,1700000,0.0235596640846861,0.651991266428302,0.290001861527546
"NNB",6,1800000,0.0248887534778264,0.650507407975642,0.290001861527546
"NNB",6,1900000,0.0262119478052558,0.64903377748646,0.290001861527546
"NNB",6,2e+06,0.0275293063514255,0.647570235310855,0.290001861527546
"NNB",6,2100000,0.0288408873500086,0.646116644858529,0.290001861527546
"NNB",6,2200000,0.0301467480119794,0.644672872503896,0.290001861527546
"NNB",6,2300000,0.0314469445526705,0.643238787495015,0.290001861527546
"NNB",6,2400000,0.032741532217854,0.641814261866177,0.290001861527546
"NNB",6,2500000,0.0340305653088923,0.64039917035395,0.290001861527546
"NNB",6,2600000,0.0353140972070002,0.638993390316524,0.290001861527546
"NNB",6,2700000,0.0365921803966581,0.637596801656189,0.290001861527546
"NNB",6,2800000,0.0378648664882153,0.636209286744808,0.290001861527546
"NNB",6,2900000,0.0391322062397166,0.634830730352125,0.290001861527546
"NNB",6,3e+06,0.0403942495779891,0.633461019576792,0.290001861527546
"NNB",6,3100000,0.0416510456190189,0.632100043779979,0.290001861527546
"NNB",6,3200000,0.0429026426876485,0.630747694521448,0.290001861527546
"NNB",6,3300000,0.0441490883366251,0.629403865497985,0.290001861527546
"NNB",6,3400000,0.0453904293650247,0.628068452484075,0.290001861527546
"NNB",6,3500000,0.0466267118360804,0.626741353274722,0.290001861527546
"NNB",6,3600000,0.0478579810944375,0.625422467630321,0.290001861527546
"NNB",6,3700000,0.0490842817828599,0.624111697223485,0.290001861527546
"NNB",6,3800000,0.0503056578584098,0.622808945587753,0.290001861527546
"NNB",6,3900000,0.0515221526081214,0.621514118068082,0.290001861527546
"NNB",6,4e+06,0.0527338086641895,0.620227121773057,0.290001861527546
"NNB",6,4100000,0.053940668018691,0.618947865528742,0.290001861527546
"NNB",6,4200000,0.0551427720378591,0.617676259834107,0.290001861527546
"NNB",6,4300000,0.0563401614759257,0.61641221681795,0.290001861527546
"NNB",6,4400000,0.0575328764885497,0.615155650197274,0.290001861527546
"NNB",6,4500000,0.0587209566458473,0.613906475237042,0.290001861527546
"NNB",6,4600000,0.059904440945038,0.612664608711258,0.290001861527546
"NNB",6,4700000,0.0610833678227218,0.611429968865319,0.290001861527546
