"scheme","Counts","samp.encoding","probs","k","di","choices"
"NNB","6,0,0,0,0","AAAAAA",1.88167642315892e-06,6,1,1
"NNB","5,1,0,0,0","AAAAAB",3.01068227705428e-06,6,2,6
"NNB","5,0,1,0,0","AAAAAC",5.64502926947677e-06,6,5,6
"NNB","5,0,0,1,0","AAAAAD",4.51602341558141e-06,6,6,6
"NNB","5,0,0,0,1","AAAAAE",1.88167642315892e-06,6,5,6
"NNB","4,2,0,0,0","AAAABB",4.81709164328685e-06,6,4,15
"NNB","4,1,1,0,0","AAAABC",9.03204683116283e-06,6,10,30
"NNB","4,1,0,1,0","AAAABD",7.22563746493027e-06,6,12,30
"NNB","4,1,0,0,1","AAAABE",3.01068227705428e-06,6,10,30
"NNB","4,0,2,0,0","AAAACC",1.69350878084303e-05,6,25,15
"NNB","4,0,1,1,0","AAAACD",1.35480702467443e-05,6,30,30
"NNB","4,0,1,0,1","AAAACE",5.64502926947678e-06,6,25,30
"NNB","4,0,0,2,0","AAAADD",1.08384561973954e-05,6,36,15
"NNB","4,0,0,1,1","AAAADE",4.51602341558142e-06,6,30,30
"NNB","4,0,0,0,2","AAAAEE",1.88167642315892e-06,6,25,15
"NNB","3,3,0,0,0","AAABBB",7.70734662925897e-06,6,8,20
"NNB","3,2,1,0,0","AAABBC",1.44512749298606e-05,6,20,60
"NNB","3,2,0,1,0","AAABBD",1.15610199438885e-05,6,24,60
"NNB","3,2,0,0,1","AAABBE",4.81709164328686e-06,6,20,60
"NNB","3,1,2,0,0","AAABCC",2.70961404934886e-05,6,50,60
"NNB","3,1,1,1,0","AAABCD",2.16769123947909e-05,6,60,120
"NNB","3,1,1,0,1","AAABCE",9.03204683116286e-06,6,50,120
"NNB","3,1,0,2,0","AAABDD",1.73415299158327e-05,6,72,60
"NNB","3,1,0,1,1","AAABDE",7.22563746493029e-06,6,60,120
"NNB","3,1,0,0,2","AAABEE",3.01068227705429e-06,6,50,60
"NNB","3,0,3,0,0","AAACCC",5.0805263425291e-05,6,125,20
"NNB","3,0,2,1,0","AAACCD",4.06442107402328e-05,6,150,60
"NNB","3,0,2,0,1","AAACCE",1.69350878084303e-05,6,125,60
"NNB","3,0,1,2,0","AAACDD",3.25153685921864e-05,6,180,60
"NNB","3,0,1,1,1","AAACDE",1.35480702467443e-05,6,150,120
"NNB","3,0,1,0,2","AAACEE",5.64502926947679e-06,6,125,60
"NNB","3,0,0,3,0","AAADDD",2.6012294873749e-05,6,216,20
"NNB","3,0,0,2,1","AAADDE",1.08384561973954e-05,6,180,60
"NNB","3,0,0,1,2","AAADEE",4.51602341558143e-06,6,150,60
